,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket,segmentClosed,date,time
306,72.0,365714863,77.0,68.0,0.112,XDS,30.0,100.0,2.0,,2022-09-20,10:16
307,71.0,365714882,77.0,76.0,0.154,XDS,30.0,100.0,3.0,,2022-09-20,10:16
308,71.0,365756197,77.0,80.0,0.083,XDS,30.0,100.0,3.0,,2022-09-20,10:16
309,55.0,365672993,58.0,47.0,0.435,XDS,30.0,93.0,2.0,,2022-09-20,10:16
310,69.0,431438813,74.0,74.0,0.027,XDS,30.0,100.0,3.0,,2022-09-20,10:16
311,47.0,365670187,50.0,47.0,0.344,XDS,30.0,100.0,3.0,,2022-09-20,10:16
312,58.0,365747134,61.0,48.0,0.374,XDS,30.0,58.0,2.0,,2022-09-20,10:16
313,61.0,263770406,63.0,64.0,0.331,XDS,30.0,100.0,3.0,,2022-09-20,10:16
314,72.0,474328974,77.0,77.0,0.99,XDS,30.0,100.0,3.0,,2022-09-20,10:16
315,76.0,474330146,79.0,68.0,1.144,XDS,30.0,100.0,2.0,,2022-09-20,10:16
316,85.0,365644249,90.0,84.0,0.332,XDS,30.0,100.0,3.0,,2022-09-20,10:16
317,82.0,474374602,82.0,68.0,0.438,XDS,30.0,56.0,2.0,,2022-09-20,10:16
318,69.0,474366200,69.0,64.0,0.266,XDS,30.0,100.0,3.0,,2022-09-20,10:16
319,66.0,365623330,66.0,63.0,0.128,XDS,30.0,100.0,3.0,,2022-09-20,10:16
320,74.0,365666510,77.0,72.0,0.5,XDS,30.0,100.0,3.0,,2022-09-20,10:16
321,82.0,365647205,82.0,68.0,0.424,XDS,30.0,43.0,2.0,,2022-09-20,10:16
322,76.0,365759799,82.0,80.0,0.362,XDS,30.0,100.0,3.0,,2022-09-20,10:16
323,40.0,460605249,45.0,42.0,1.704,XDS,30.0,100.0,3.0,,2022-09-20,10:16
324,39.0,460605250,47.0,51.0,1.237,XDS,30.0,81.0,3.0,,2022-09-20,10:16
325,61.0,365626004,72.0,53.0,1.722,XDS,30.0,100.0,2.0,,2022-09-20,10:16
326,66.0,365723462,71.0,24.0,0.048,XDS,30.0,100.0,1.0,,2022-09-20,10:16
327,66.0,365677079,71.0,24.0,0.071,XDS,30.0,100.0,1.0,,2022-09-20,10:16
328,66.0,365638242,71.0,24.0,0.105,XDS,30.0,100.0,1.0,,2022-09-20,10:16
329,66.0,365703791,71.0,69.0,1.292,XDS,30.0,100.0,3.0,,2022-09-20,10:16
330,39.0,365666632,39.0,2.0,1.25,XDS,30.0,57.0,0.0,,2022-09-20,10:16
331,39.0,365625290,39.0,31.0,0.069,XDS,30.0,57.0,2.0,,2022-09-20,10:16
332,39.0,365666650,39.0,3.0,0.268,XDS,30.0,57.0,0.0,,2022-09-20,10:16
333,39.0,443255437,39.0,34.0,0.998,XDS,30.0,57.0,2.0,,2022-09-20,10:16
334,27.0,365719991,29.0,5.0,0.161,XDS,30.0,2.0,0.0,,2022-09-20,10:16
